nl_text,code_snippet
reading tab-delimited csv file `filename` with pandas on mac,"pandas.read_csv(filename, sep='\t', lineterminator='\r')"
how to sort a dataframe in python pandas by two or more columns?,"df1 = df1.sort(['a', 'b'], ascending=[True, False])"
append 3 lists in one list,[[] for i in range(3)]
creating a dictionary from an iterable,"{i: (0) for i in range(0, 10)}"
get the count of each unique value in column `country` of dataframe `df` and store in column `sum of accidents`,df.Country.value_counts().reset_index(name='Sum of Accidents')
sort a list of lists `s` by second and third element in each list.,"s.sort(key=operator.itemgetter(1, 2))"
"print a string `s` by splitting with comma `,`","print(s.split(','))"
get size of a file before downloading in python,"open(filename, 'rb')"
removing backslashes from a string in python,"result = result.replace('\\', '')"
fill list `mylist` with 4 0's,self.myList.extend([0] * (4 - len(self.myList)))
join list of lists in python,[j for i in x for j in i]
"in django, how do i check if a user is in a certain group?",return user.groups.filter(name='Member').exists()
pandas: how to select by partial label in index,ds.loc['wiki':'wikj']
insert item `12` to a list `my_list`,my_list.append(12)
create a 2d array of `node` objects with dimensions `cols` columns and `rows` rows,nodes = [[Node() for j in range(cols)] for i in range(rows)]
how can i generate more colors on pie chart matplotlib,plt.show()
group by interval of datetime using pandas,df1.resample('5Min').sum()
"pythonic way to fetch all elements in a dictionary, falling between two keys?","dict((k, v) for k, v in parent_dict.items() if k > 2 and k < 4)"
calling a .py script from a specific file path in python interpreter,"exec(compile(open('C:\\X\\Y\\Z').read(), 'C:\\X\\Y\\Z', 'exec'))"
remove periods inbetween capital letters that aren't immediately preceeded by word character(s) in a string `s` using regular expressions,"re.sub('(?<!\\w)([A-Z])\\.', '\\1', s)"
how to write a list to xlsx using openpyxl,cell.value = statN
how to obtain the day of the week in a 3 letter format from a datetime object in python?,datetime.datetime.now().strftime('%a')
single line nested for loops,"[(x, y) for x in [1, 2, 3] for y in [3, 1, 4] if x != y]"
convert django model object to dict with all of the fields intact,list(SomeModel.objects.filter(id=instance.id).values())[0]
set the stdin of the process 'grep f' to be 'one\ntwo\nthree\nfour\nfive\nsix\n',"p = subprocess.Popen(['grep', 'f'], stdout=subprocess.PIPE, stdin=subprocess.PIPE)
p.stdin.write('one\ntwo\nthree\nfour\nfive\nsix\n')
p.communicate()[0]
p.stdin.close()"
taking a screenshot with pyglet [fix'd],pyglet.app.run()
django: how do i get the model a model inherits from?,list(StreetCat._meta.parents.keys())[-1]
"python - finding the user's ""downloads"" folder","return os.path.join(home, 'Downloads')"
how to get output of exe in python script?,"output = subprocess.Popen(['mycmd', 'myarg'], stdout=PIPE).communicate()[0]"
getting the length of `my_tuple`,len(my_tuple)
scatter plot in matplotlib,"matplotlib.pyplot.scatter(x, y)"
how to split string with limit by the end in python,"""""""hello.world.foo.bar"""""".rsplit('.', 1)"
best way to strip punctuation from a string in python,"s = re.sub('[^\\w\\s]', '', s)"
transform time series `df` into a pivot table aggregated by column 'close' using column `df.index.date` as index and values of column `df.index.time` as columns,"pd.pivot_table(df, index=df.index.date, columns=df.index.time, values='Close')"
capitalizing non-ascii words in python,print('\xc3\xa9'.decode('cp1252').capitalize())
how to create an immutable list in python?,new_list = copy.deepcopy(old_list)
how to parse django templates for template tags,"""""""{% *url +[^']"""""""
python comprehension loop for dictionary,sum(item['one'] for item in list(tadas.values()))
how to get one number specific times in an array python,[0] * 3
python mysqldb typeerror: not all arguments converted during string formatting,"cur.execute(""SELECT * FROM records WHERE email LIKE '%s'"", [search])"
change the color of the plot depending on the density (stored in an array) in line plot in matplotlib,plt.show()
python: intersection indices numpy array,"numpy.in1d(a, b)"
django: faking a field in the admin interface?,"admin.site.register(Foo, FooAdmin)"
"find the greatest number in set `(1, 2, 3)`","print(max(1, 2, 3))"
how to get if checkbox is checked on flask,value = request.form.getlist('check')
logging in a framework,log = logging.getLogger(__name__)
"replace items in list, python","yourlist = ['{}_{}_{}'.format(s.rsplit('_', 2)[0], x, y) for s in yourlist]"
python cherrypy - how to add header,cherrypy.quickstart(Root())
"create sub matrix of a list of lists `[[2, 3, 4], [2, 3, 4], [2, 3, 4]]` (without numpy)","[[2, 3, 4], [2, 3, 4], [2, 3, 4]]"
how to do this group by query in django's orm with annotate and aggregate,Article.objects.values('pub_date').annotate(article_count=Count('title'))
normalize columns of pandas data frame,df = df / df.max().astype(np.float64)
plot histogram in python,plt.show()
python int to binary?,bin(10)
"using python's datetime module, get the year that utc-11 is currently in",(datetime.datetime.utcnow() - datetime.timedelta(hours=11)).year
terminate a python script from another python script,"os.kill(5383, signal.SIGKILL)"
how to initialise a 2d array in python?,"[[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]"
how to convert a python dict object to a java equivalent object?,"map.put(key, new_value)"
set multi index of an existing data frame in pandas,"df.set_index(['Company', 'date'], inplace=True)"
slicing a list into a list of sub-lists,"[input[i:i + n] for i in range(0, len(input), n)]"
pandas data frame plotting,df.plot(title='Title Here')
extracting words between delimiters [] in python,"re.findall('\\[([^\\]]*)\\]', str)"
"find where f(x) changes in a list, with bisection (in python)","binary_f(lambda v: v >= '4.2', ['1.0', '1.14', '2.3', '3.1', '4'])"
"how can i listen for 'usb device inserted' events in linux, in python?",loop.run()
split a string `mystring` considering the spaces ' ',"mystring.replace(' ', '! !').split('!')"
sum values greater than 0 in dictionary `d`,sum(v for v in list(d.values()) if v > 0)
sorting a list of tuples with multiple conditions,"sorted_by_length = sorted(list_, key=lambda x: (x[0], len(x[1]), float(x[1])))"
python returning unique words from a list (case insensitive),"['We', 'are', 'one', 'the', 'world', 'UNIVERSE']"
how to remove ^m from a text file and replace it with the next line,"somestring.replace('\\r', '')"
python date string formatting,my_date.strftime('%-m/%-d/%y')
check if object `obj` has attribute 'attr_name',"hasattr(obj, 'attr_name')"
removing one list from another,[x for x in a if x not in b]
is it possible for beautifulsoup to work in a case-insensitive manner?,"soup.findAll('meta', name=re.compile('^description$', re.I))"
converting a dict into a list,"['two', 2, 'one', 1]"
pipe input to python program and later get input from user,a = input('Prompt: ')
how to clear tkinter canvas?,canvas.delete('all')
load the url `http://www.google.com` in selenium webdriver `driver`,driver.get('http://www.google.com')
element-wise minimum of multiple vectors in numpy,"np.amin(V, axis=0)"
find all n-dimensional lines and diagonals with numpy,"np.split(x.reshape(x.shape[0], -1), 9, axis=1)"
check if path `my_path` is an absolute path,os.path.isabs(my_path)
sort list `a` in ascending order based on its elements' float values,"a = sorted(a, key=lambda x: float(x))"
python mysql connector - unread result found when using fetchone,cursor = cnx.cursor(buffered=True)
number formatting in python,"print('%gx\xc2\xb3 + %gx\xc2\xb2 + %gx + %g = 0' % (a, b, c, d))"
how to import from config file in flask?,app.config.from_object('config.ProductionConfig')
extract brackets from string `s`,"brackets = re.sub('[^(){}[\\]]', '', s)"
named colors in matplotlib,"plt.plot([1, 2], lw=4, c='#8f9805')"
add legend to scatter plot,plt.show()
"check if string `strg` starts with any of the elements in list ('0', '1', '2', '3', '4', '5', '6', '7', '8', '9')","strg.startswith(('0', '1', '2', '3', '4', '5', '6', '7', '8', '9'))"
pretty print pandas dataframe,"pd.DataFrame({'A': [1, 2], 'B': ['a,', 'b']})"
round off the float that is the product of `2.52 * 100` and convert it to an int,int(round(2.51 * 100))
how to specify where a tkinter window opens?,root.mainloop()
encode `decimal('3.9')` to a json string,json.dumps(Decimal('3.9'))
replace first occurence of string,"'longlongTESTstringTEST'.replace('TEST', '?', 1)"
split a multi-line string ` a \n b \r\n c ` by new line character `\n`,' a \n b \r\n c '.split('\n')
format number 1000000000.0 using latex notation,print('\\num{{{0:.2g}}}'.format(1000000000.0))
efficient way to convert numpy record array to a list of dictionary,"[dict(zip(r.dtype.names, x)) for x in r]"
how to make a simple command-line chat in python?,sys.exit(0)
how do i remove all punctuation that follows a string?,"""""""words!?.,;:"""""".rstrip('?:!.,;')"
order a list of lists `l1` by the first value,l1.sort(key=lambda x: int(x[0]))
how to remove empty string in a list?,cleaned = [x for x in your_list if x]
use groupby in pandas to count things in one column in comparison to another,df.groupby('Event').Status.value_counts().unstack().fillna(0)
from nd to 1d arrays,c = a.flatten()
how to keep a python script output window open?,input()
how to append in a json file in python?,"{'new_key': 'new_value', '67790': {'1': {'kwh': 319.4}}}"
click a href button with text 'send inmail' with selenium,driver.find_element_by_link_text('Send InMail').click()
python: how to generate a 12-digit random number?,""""""""""""".join(str(random.randint(0, 9)) for _ in range(12))"
getting the first item item in a many-to-many relation in django,Group.objects.get(id=1).members.filter(is_main_user=True)[0]
convert date object `dateobject` into a datetime object,"datetime.datetime.combine(dateobject, datetime.time())"
python: sum string lengths,length = sum(len(s) for s in strings)
how to initialize multiple columns to existing pandas dataframe,df.reindex(columns=list['cd'])
how can i split a string into tokens?,"['x', '+', '13', '.', '5', '*', '10', 'x', '-', '4', 'e', '1']"
pandas: how can i remove duplicate rows from dataframe and calculate their frequency?,"df1.groupby(['key', 'year']).size().reset_index()"
organizing list of tuples,"[(1, 4), (4, 8), (8, 10)]"
reset index of series `s`,s.reset_index(0).reset_index(drop=True)
pandas.read_csv: how to skip comment lines,"pd.read_csv(StringIO(s), sep=',', comment='#')"
how do i get the number of lists with a particular element?,"Counter({'a': 3, 'c': 3, 'b': 2, 'd': 1})"
best way to encode tuples with json,"{'[1,2]': [(2, 3), (1, 7)]}"
can i sort text by its numeric value in python?,"sorted(list(mydict.items()), key=lambda a: map(int, a[0].split('.')))"
numpy: get 1d array as 2d array without reshape,"np.hstack([np.atleast_2d([1, 2, 3, 4, 5]).T, np.atleast_2d([1, 2, 3, 4, 5]).T])"
how to get yesterday in python,datetime.datetime.now() - datetime.timedelta(days=1)
"zip list `a`, `b`, `c` into a list of tuples","[(x + tuple(y)) for x, y in zip(zip(a, b), c)]"
"print ""."" without newline",sys.stdout.write('.')
perform different operations based on index modulus of list items,"['One', 'TWO', 'eerhT', 'Four', 'FIVE', 'xiS', 'Seven', 'EIGHT', 'eniN']"
filter `users` by field `userprofile` with level greater than or equal to `0`,User.objects.filter(userprofile__level__gte=0)
"in python, how to change text after it's printed?",sys.stdout.flush()
python selenium get current window handle,driver.current_window_handle
get a list of pairs from a string `word` using lambda function,"list(map(lambda x, y: x + y, word[:-1], word[1:]))"
create a list of tuples with adjacent list elements if a condition is true,"[(myList[i - 1], myList[i]) for i in range(len(myList)) if myList[i] == 9]"
symlinks on windows?,"kdll.CreateSymbolicLinkA('d:\\test.txt', 'd:\\test_link.txt', 0)"
how to add header row to a pandas dataframe,"Frame = pd.DataFrame([Cov], columns=['Sequence', 'Start', 'End', 'Coverage'])"
pandas groupby apply on multiple columns,"df.groupby('group').transform(pd.rolling_mean, 2, min_periods=2)"
sort list `list_` based on first element of each tuple and by the length of the second element of each tuple,"list_.sort(key=lambda x: [x[0], len(x[1]), x[1]])"
collapsing whitespace in a string,"re.sub('[_\\W]+', ' ', s).strip().upper()"
format a datetime string `when` to extract date only,"then = datetime.datetime.strptime(when, '%Y-%m-%d').date()"
retrieve an element from a set `s` without removing it,e = next(iter(s))
is it possible to run pygame as a cronjob?,"pygame.display.set_mode((1, 1))"
how to check if type of a variable is string?,"isinstance(s, str)"
how do i find the distance between two points?,"dist = math.hypot(x2 - x1, y2 - y1)"
"regex, find first - python","re.findall('<wx\\.(?:.*?)> >', i)"
pandas changing cell values based on another cell,df.sort_index(inplace=True)
python pickle/unpickle a list to/from a file,pickle.load('afile')
how can a pandas merge preserve order?,"x.reset_index().merge(y, how='left', on='state', sort=False).sort('index')"
how to get raw xml back from lxml?,etree.tostring(div)
get all the matches from a string `abcd` if it begins with a character `a`,"re.findall('[^a]', 'abcd')"
django: detecting changes of a set of fields when a model is saved,"super(MyModel, self).save(*args, **kwargs)"
"how to use ""raise"" keyword in python",raise Exception('My error!')
automatically setting y-axis limits for bar graph using matplotlib,plt.show()
get count of values in numpy array `a` that are between values `25` and `100`,((25 < a) & (a < 100)).sum()
"given a list of variable names in python, how do i a create a dictionary with the variable names as keys (to the variables' values)?","dict((name, eval(name)) for name in list_of_variable_names)"
how to know/change current directory in python shell?,os.system('cd c:\\mydir')
remove newline from file in python,"str2 = str.replace('\n', '')"
how to get user email with python social auth with facebook and save it,SOCIAL_AUTH_FACEBOOK_SCOPE = ['email']
"in python, is there a concise way to use a list comprehension with multiple iterators?","[(i, j) for i in range(1, 3) for j in range(1, 5)]"
parse_dates in pandas,"df['date'] = pd.to_datetime(df['date'], format='%d%b%Y')"
"list comprehension - converting strings in one list, to integers in another",[[int(x)] for y in list_of_lists for x in y]
how to flush output of python print?,sys.stdout.flush()
"join together with "","" elements inside a list indexed with 'category' within a dictionary `trans`",""""""","""""".join(trans['category'])"
"convert list of key-value tuples `[('a', 1), ('b', 2), ('c', 3)]` into dictionary","dict([('A', 1), ('B', 2), ('C', 3)])"
"in python, how to check if a string only contains certain characters?",bool(re.compile('^[a-z0-9\\.]+\\Z').match('1234\n'))
execute a mv command `mv /home/somedir/subdir/* somedir/` in subprocess,"subprocess.call('mv /home/somedir/subdir/* somedir/', shell=True)"
matching id's in beautifulsoup,"print(soupHandler.findAll('div', id=re.compile('^post-')))"
how to create a dict with letters as keys in a concise way?,"dic = dict((y, x) for x, y in enumerate(al, 1))"
split a list into increasing sequences using itertools,"[[1, 2, 3, 4, 5], [2, 3, 4], [1, 2]]"
convert average of python list values to another list,"{'Mike': [[1, 4], [5, 7]], 'Joe': [[5, 7], [6, 9], [7, 4]]}"
how can i get the ip address of eth0 in python?,get_ip_address('eth0')
convert integer to binary,"""""""{:b}"""""".format(some_int)"
finding consecutive consonants in a word,"re.findall('[^aeiou]+', '123concertation')"
assign a number to each unique value in a list,"[1, 1, 3, 3, 3, 2, 2, 1, 2, 0, 0, 0, 1]"
"read in tuple of lists from text file as tuple, not string - python","ast.literal_eval(""('item 1', [1,2,3,4] , [4,3,2,1])"")"
call parent class `instructor` of child class constructor,"super(Instructor, self).__init__(name, year)"
"delete 1st, 2nd and 4th columns from dataframe `df`","df.drop(df.columns[[0, 1, 3]], axis=1)"
combine two sequences into a dictionary,"dict(zip(keys, values))"
how can i import a python module function dynamically?,"my_function = getattr(__import__('my_apps.views'), 'my_function')"
throw an error window in python in windows,"ctypes.windll.user32.MessageBoxW(0, 'Error', 'Error', 0)"
python pandas extract unique dates from time series,df['Date'].map(lambda t: t.date()).unique()
generate pdf file `output_filename` from markdown file `input_filename`,"with open(input_filename, 'r') as f:
    html_text = markdown(f.read(), output_format='html4')
pdfkit.from_string(html_text, output_filename)"
get current cpu and ram usage,"psutil.cpu_percent()
psutil.virtual_memory()"
convert binary data to signed integer,"struct.unpack('!h', p0 + p1)[0]"
"utf-8 in python logging, how?",logging._defaultFormatter = logging.Formatter('%(message)s')
how convert a jpeg image into json file in google machine learning,{'image_bytes': {'b64': 'dGVzdAo='}}
django - get distinct dates from timestamp,return qs.values('date').annotate(Sum('amount')).order_by('date')
get the integer location of a key `bob` in a pandas data frame,df.index.get_loc('bob')
regular expression to return all characters between two special characters,match.group(1)
how do i create a csv file from database in python?,csv_writer.writerows(cursor)
"delete mulitple columns `columnheading1`, `columnheading2` in pandas data frame `yourdf`","yourdf.drop(['columnheading1', 'columnheading2'], axis=1, inplace=True)"
how to get first element in a list of tuples?,new_list = [seq[0] for seq in yourlist]
how to unquote a urlencoded unicode string in python?,urllib.parse.unquote(url).decode('utf8')
can i put a tuple into an array in python?,list_of_tuples[0][0] = 7
plot single data with two y axes (two units) in matplotlib,ax2.set_ylabel('Sv')
convert date format python,"datetime.datetime.strptime('10/05/2012', '%d/%m/%Y').strftime('%Y-%m-%d')"
return a tuple of arguments to be fed to string.format(),"print('Two pair, {0}s and {1}s'.format(*cards))"
how to construct regex for this text,"re.findall('(?<=\\s)\\d.*?(?=\\s\\d\\s\\d[.](?=$|\\s[A-Z]))', s)"
sorting list of nested dictionaries in python,"sorted(yourdata, reverse=True)"
python - iterating over a subset of a list of tuples,"ones = [(x, y) for x, y in l if y == 1]"
regex to get list of all words with specific letters (unicode graphemes),"print(' '.join(get_words(['k', 'c', 't', 'a'])))"
sqlalchemy many-to-many performance,all_challenges = session.query(Challenge).join(Challenge.attempts).all()
how can i configure pyramid's json encoding?,"return {'color': 'color', 'message': 'message'}"
how to pass a dictionary as value to a function in python,"reducefn({'physics': 1}, {'volume': 1, 'chemistry': 1}, {'chemistry': 1})"
duplicating some rows and changing some values in pandas,"pd.concat([good, new], axis=0, ignore_index=True)"
hex string to character in python,binascii.unhexlify('437c2123')
calcuate mean for selected rows for selected columns in pandas data frame,"df.iloc[:, ([2, 5, 6, 7, 8])].mean(axis=1)"
setting stacksize in a python script,os.system('ulimit -s unlimited; some_executable')
delete letters from string,""""""""""""".join(filter(str.isdigit, '12454v'))"
python right click menu using pygtk,button = gtk.Button('A Button')
python regular expression match whole word,"re.search('\\bis\\b', your_string)"
how do i un-escape a backslash-escaped string in python?,"print('""Hello,\\nworld!""'.decode('string_escape'))"
pandas. group by field and merge the values in a single row,df.set_index('id').stack().unstack()
"sorting a list of dot-separated numbers, like software versions","['1.0.0', '1.0.2', '1.0.12', '1.1.2', '1.3.3']"
slicing numpy array with another array,"a = np.concatenate((a, [0]))"
how to transform a time series pandas dataframe using the index attributes?,"pd.pivot_table(df, index=df.index.date, columns=df.index.time, values='Close')"
find the nth occurrence of substring in a string,"find_nth('foofoofoofoo', 'foofoo', 2)"
"regular expression syntax for ""match nothing""?",re.compile('.\\A|.\\A*|.\\A+')
find indices of large array if it contains values in smaller array,"np.where(np.in1d(a, b))"
find all digits between two characters `\xab` and `\xbb`in a string `text`,"print(re.findall('\\d+', '\n'.join(re.findall('\xab([\\s\\S]*?)\xbb', text))))"
how do i create a file in python without overwriting an existing file,"fd = os.open('x', os.O_WRONLY | os.O_CREAT | os.O_EXCL)"
django: query self referencing objects with no child elements,Category.objects.filter(category__isnull=True)
redirecting stdio from a command in os.system() in python,os.system(cmd + '> /dev/null 2>&1')
count the number of words in a string `s`,len(s.split())
how do i parse xml in python?,print(atype.get('foobar'))
converting timezone-aware datetime to local time in python,datetime.datetime.fromtimestamp(calendar.timegm(d.timetuple()))
what's the most memory efficient way to generate the combinations of a set in python?,"print(list(itertools.combinations({1, 2, 3, 4}, 3)))"
"store integer 3, 4, 1 and 2 in a list","[3, 4, 1, 2]"
"python, running command line tools in parallel","subprocess.call('start command -flags arguments', shell=True)"
grouping pandas dataframe by n days starting in the begining of the day,df['dateonly'] = df['time'].apply(lambda x: x.date())
get key by value in dictionary with same value in python?,"print([key for key, value in list(d.items()) if value == 1])"
multiple axis in matplotlib with different scales,plt.show()
python list initialization using multiple range statements,"list(range(1, 6)) + list(range(15, 20))"
decode string `content` to utf-8 code,print(content.decode('utf8'))
"convert and escape string ""\\xc3\\x85a"" to utf-8 code","""""""\\xc3\\x85a"""""".encode('utf-8').decode('unicode_escape')"
python pandas: plot histogram of dates?,df.date = df.date.astype('datetime64')
how do i make django's markdown filter transform a carriage return to <br />?,{{value | markdown | linebreaksbr}}
creating a numpy array of 3d coordinates from three 1d arrays,"np.vstack(np.meshgrid(x_p, y_p, z_p)).reshape(3, -1).T"
get line count of file 'myfile.txt',sum((1 for line in open('myfile.txt')))
how to split sub-lists into sub-lists k times? (python),"split_list([1, 2, 3, 4, 5, 6, 7, 8], 2)"
how can i plot hysteresis in matplotlib?,"ax.scatter(XS, YS, ZS)"
how to use matplotlib tight layout with figure?,plt.show()
find the string matches within parenthesis from a string `s` using regex,"m = re.search('\\[(\\w+)\\]', s)"
"in python, how can i turn this format into a unix timestamp?","time.strptime('Mon Jul 09 09:20:28 +0000 2012', '%a %b %d %H:%M:%S +0000 %Y')"
format string - spaces between every three digit,"format(12345678.46, ',').replace(',', ' ').replace('.', ',')"
is it possible to add a string as a legend item in matplotlib,plt.show()
split a string `s` by space with `4` splits,"s.split(' ', 4)"
write content of dataframe `df` into text file 'c:\\data\\pandas.txt',"df.to_csv('c:\\data\\pandas.txt', header=None, index=None, sep=' ', mode='a')"
what is a maximum number of arguments in a python function?,"exec ('f(' + ','.join(str(i) for i in range(5000)) + ')')"
how do i do a not equal in django queryset filtering?,results = Model.objects.filter(x=5).exclude(a=true)
removing list of words from a string,""""""" """""".join([x for x in query.split() if x.lower() not in stopwords])"
remove the element in list `a` at index `index`,a.pop(index)
numpy indexerror: too many indices for array when indexing matrix with another,"matrix([[1, 2, 3], [7, 8, 9], [10, 11, 12]])"
convert list `data` into a string of its elements,"print(''.join(map(str, data)))"
add legend to seaborn point plot,plt.show()
how do i authenticate a urllib2 script in order to access https web services from a django site?,"req.add_header('Referer', login_url)"
split string `my_string` on white spaces,""""""" """""".join(my_string.split())"
sort list `a` using the first dimension of the element as the key to list `b`,a.sort(key=lambda x: b.index(x[0]))
"regular expression ""^(.+)\\n((?:\\n.+)+)"" matching a multiline block of text","re.compile('^(.+)\\n((?:\\n.+)+)', re.MULTILINE)"
log message of level 'info' with value of `date` in the message,logging.info('date={}'.format(date))
how to redirect python warnings to a custom stream?,warnings.warn('test warning')
python all combinations of subsets of a string,"[['4824'], ['482', '4'], ['48', '24'], ['4', '824'], ['4', '82', '4']]"
most pythonic way to convert a list of tuples,[list(t) for t in zip(*list_of_tuples)]
how can i create a list containing another list's elements in the middle in python?,"list_c = list_c + list_a + ['more'] + list_b + ['var1', 'var2']"
an elegant way of finding the closest value in a circular ordered list,"min(L, key=lambda theta: angular_distance(theta, 1))"
how to create a sequential combined list in python?,"['a', 'ab', 'abc', 'abcd', 'b', 'bc', 'bcd', 'c', 'cd', 'd']"
how to get everything after last slash in a url?,"url.rsplit('/', 1)"
how do i remove a node in xml using elementtree in python?,tree.remove(tree.findall('.//B')[1])
sum one number to every element in a list (or array) in python,"map(lambda x: x + 1, L)"
how can i change a specific row label in a pandas dataframe?,df = df.rename(index={last: 'a'})
list of strings to integers while keeping a format in python,data = [[int(i) for i in line.split()] for line in original]
django database query: how to filter objects by date range?,"Sample.objects.filter(date__range=['2011-01-01', '2011-01-31'])"
how do i treat an ascii string as unicode and unescape the escaped characters in it in python?,s.decode('unicode-escape').encode('ascii')
how to convert dictionary into string,""""""""""""".join('{}{}'.format(key, val) for key, val in sorted(adict.items()))"
updating a matplotlib bar graph?,plt.show()
how to convert list of numpy arrays into single numpy array?,"numpy.concatenate(LIST, axis=0)"
how to specify column names while reading an excel file using pandas?,"df = xl.parse('Sheet1', header=None)"
masking part of a contourf plot in matplotlib,plt.show()
pandas: selection with multiindex,df[pd.Series(df.index.get_level_values('A')).isin(vals[vals['values']].index)]
string reverse in python,print(''.join(x[::-1] for x in pattern.split(string)))
get the middle two characters of a string 'state' in a pandas dataframe `df`,df['state'].apply(lambda x: x[len(x) / 2 - 1:len(x) / 2 + 1])
add key 'a' to dictionary `data` with value 1,"data.update({'a': 1, })"
flask server cannot read file uploaded by post request,data = request.files['file'].read()
convert unicode string `s` to ascii,s.encode('iso-8859-15')
divide two lists in python,"map(truediv, a, b)"
how do i parse xml in python?,e = xml.etree.ElementTree.parse('thefile.xml').getroot()
pyhon - best way to find the 1d center of mass in a binary numpy array,np.flatnonzero(x[:-1] != x[1:]).mean() + 0.5
how to add items into a numpy array,"array([[1, 3, 4, 10], [1, 2, 3, 20], [1, 2, 1, 30]])"
how can i configure pyramid's json encoding?,"json.dumps(json.dumps({'color': 'color', 'message': 'message'}))"
create a list of aggregation of each element from list `l2` to all elements of list `l1`,[(x + y) for x in l2 for y in l1]
trim string `mystring `,myString.strip()
splitting a string into a list (but not separating adjacent numbers) in python,"re.findall('\\d+|\\S', string)"
how to implement jump in pygame without sprites?,pygame.init()
get a environment variable `debussy`,print(os.environ['DEBUSSY'])
plotting terrain as background using matplotlib,plt.show()
how would i go about playing an alarm sound in python?,winsound.PlaySound('alert.wav')
converting numpy array into python list structure?,"np.array([[1, 2, 3], [4, 5, 6]]).tolist()"
setting different color for each series in scatter plot on matplotlib,"plt.scatter(x, y, color=c)"
find dictionary items whose key matches a substring,"[value for key, value in list(programs.items()) if 'new york' in key.lower()]"
put the curser at beginning of the file,file.seek(0)
counting positive elements in a list with python list comprehensions,len([x for x in frequencies if x > 0])
print a emoji from a string `\\ud83d\\ude4f` having surrogate pairs,"""""""\\ud83d\\ude4f"""""".encode('utf-16', 'surrogatepass').decode('utf-16')"
encode a string `data to be encoded` to `ascii` encoding,encoded = 'data to be encoded'.encode('ascii')
how do i save data from a modelform to database in django?,obj.save()
why are literal formatted strings so slow in python 3.6 alpha? (now fixed in 3.6 stable),""""""""""""".join(['X is ', x.__format__('')])"
"print a string after a specific substring ', ' in string `my_string `","print(my_string.split(', ', 1)[1])"
"insert a list into another list, without brackets and by replacing the current item in that index","[2, 6, 8, 7, 9, 6, 5, 4, 2]"
initialize a datetime object with seconds since epoch,datetime.datetime.fromtimestamp(1284286794)
moving x-axis to the top of a plot in matplotlib,"ax.tick_params(labelbottom='off', labeltop='on')"
how do i make a single legend for many subplots with matplotlib?,"fig.legend(lines, labels, loc=(0.5, 0), ncol=5)"
how to extend pywavelets to work with n-dimensional data?,"pywt.dwtn([[1, 2, 3, 4], [3, 4, 5, 6], [5, 6, 7, 8], [7, 8, 9, 10]], 'db1')"
removing duplicates in list `t`,list(set(t))
convert string to json using python,print(d['glossary']['title'])
beautifulsoup - search by text inside a tag,"soup.find_all('a', string='Elsie')"
python string slice indices - slice to end of string,word[1:]
convert a list of objects `list_name` to json string `json_string`,json_string = json.dumps([ob.__dict__ for ob in list_name])
python image library: how to combine 4 images into a 2 x 2 grid?,image64 = Image.open(fluid64 + '%02d.jpg' % pic)
accessing a decorator in a parent class from the child in python,"super(otherclass, self).__init__()"
python: get the first character of a the first string in a list?,"['b', 's', 't']"
sorting lines of file python,"re.split('\\s+', line)"
python datetime formatting without zero-padding,mydatetime.strftime('%-m/%d/%Y %-I:%M%p')
python lambda with if but without else,lambda x: x if x < 3 else None
finding items in one array based upon a second array,A[B == x].sum()
how can i import a string file into a list of lists?,"[[-1, 2, 0], [0, 0, 0], [0, 2, -1], [-1, -2, 0], [0, -2, 2], [0, 1, 0]]"
remove string between 2 characters from text string,"re.sub('\\[.*?\\]', '', 'abcd[e]yth[ac]ytwec')"
problem with inserting into mysql database from python,conn.commit()
how to print current date on python3?,print(datetime.datetime.now().strftime('%y'))
how do i print out the full url with tweepy?,print(url['expanded_url'])
convert a list to a dictionary in python,"b = dict(zip(a[0::2], a[1::2]))"
python: split on either a space or a hyphen?,"re.split('[\\s-]+', text)"
shade 'cells' in polar plot with matplotlib,plt.show()
convert utf-8 with bom to utf-8 with no bom in python,return s.decode('latin-1')
how to round to two decimal places in python 2.7?,"round(1.679, 2)"
how to add logging to a file with timestamps to a python tcp server for raspberry pi,logging.info('some message')
filtering grouped df in pandas,grouped.filter(lambda x: len(x) > 1)
setting up a learningratescheduler in keras,model.predict(X_test)
python tkinter how to bind key to a button,"master.bind('s', self.sharpen)"
is there a way to remove duplicate and continuous words/phrases in a string?,"re.sub('\\b(.+)(\\s+\\1\\b)+', '\\1', s)"
pandas: mean of columns with the same names,df = df.reset_index()
split a string `s` with into all strings of repeated characters,"[m.group(0) for m in re.finditer('(\\d)\\1*', s)]"
printing list in python properly,"print('[%s]' % ', '.join(map(str, mylist)))"
how to sort in decreasing value first then increasing in second value,"print(sorted(student_tuples, key=lambda t: (-t[2], t[0])))"
list all files in directory `path`,os.listdir(path)
convert string to binary in python,"print(' '.join(format(ord(x), 'b') for x in a))"
replace all the occurrences of specific words,"sentence = re.sub('\\bbeans\\b', 'cars', sentence)"
listing files from a directory using glob python,glob.glob('hello*.txt')
adding colors to a 3d quiver plot in matplotlib,plt.show()
how to extract a subset of a colormap as a new colormap in matplotlib?,plt.show()
"concatenating values in list `l` to a string, separate by space",' '.join((str(x) for x in L))
how do i mock users with gae and nosetest?,testself.testbed.setup_env(user_is_admin='1')
